customer_id,full_name,age,income,city,state,loan_id,loan_type,loan_amount,interest_rate,loan_status,credit_score,issue_date,payment_amount
ec1d4d99-b302-4490-ab73-a151a16bed41,Amy Harris,56,284064,Joneschester,South Carolina,59104b7a-e332-4bcf-b3eb-178c5e731cd2,Personal,3503796,5.14,Closed,390,9/4/2015,10896
3933fd45-314b-4495-aa88-4d7224088435,Erica Smith,69,1174697,Mayfurt,New York,f2926974-8d1a-4c94-bfbd-79cb2d80c284,Education,1087140,8,Closed,775,9/10/2021,34077
66f67c7c-f87b-4450-83bd-18c104b6f1fd,Stephanie Villanueva,46,490435,East Samantha,North Dakota,a6fa79d5-bf52-4050-9c05-0f137ede1281,Auto,1666419,6.7,Closed,487,9/3/2023,86334
aba6150a-7406-44af-b5e2-eeb315344648,George Jackson,32,621160,New Shane,Arkansas,318fcdc3-61ec-41a3-ba17-a1551c465d24,Personal,940648,17.64,Defaulted,494,1/5/2021,72325
c869dc3d-ccfb-4f7c-ad53-2ba580e9ef1c,Valerie Ruiz,60,1936140,West Julieside,California,30e7bcec-abb6-4ac8-905f-5c3e47620f87,Personal,228475,8.88,Defaulted,833,7/13/2015,76226
374f4b84-32ce-45c6-bc73-335e611e8c89,Robert Ramirez,25,284237,Triciahaven,Tennessee,bb4925c5-7785-427e-a2d7-d2fa030bd91e,Business,2445661,9.27,Closed,384,5/6/2020,47221
ee750d47-8062-416b-b8bb-2700c5ce4edc,Nicholas Lopez,38,295049,Port Andrewmouth,Utah,06bed4d5-cd12-470a-8313-f90bcb5e751a,Home,4605081,19.4,Defaulted,376,11/13/2022,42620
0134f39d-e532-4807-8f81-996eb5747e04,Mr. John West MD,56,666047,Millershire,Alabama,904f981a-ab58-437a-b099-0362eeb16d8c,Education,3777303,10.69,Active,629,12/23/2019,86367
638a2d7b-ecc5-4be0-a97a-6f9756c9bb8d,Bryan Christensen,36,437567,South Prestontown,Florida,1604d170-635e-45ce-acad-12eb67a3daa0,Auto,3516948,5.14,Active,682,8/24/2019,92609
28a73c34-5e41-45ea-93be-9ec5095dc216,Andrew Hughes,40,1361701,Griffinberg,Missouri,83ffe8d6-dd6a-47d0-8f24-a28b5aaa85f5,Personal,3836491,9.26,Active,732,11/2/2022,11264
